ID;Mã sản phẩm cha;Tên sản phẩm cha;Mã vạch;Mã sản phẩm;Tên sản phẩm;Khối lượng;Giá;Giá vốn;Giá nhập;Giá bán sỉ;Kho Hà Nội;Kho HCM;Tổng tồn
4944621;;;2000214256765;TNU180526;Tóc tém TNU180526;;3899000;;;;4;;4
4944620;;;2000214256758;HUYỀN-1505261;Mái phủ hói siêu da silk base MHNU150526;;10899000;;;;1;;1
4944619;;;2000214256741;HUYỀN-150526;Đầu đội siêu da silk base DDV150526;;16499000;;;;1;;1
4944618;;;2000214256734;Hà-1405261;Đầu đội siêu da silk base DDV1405261;;11899000;;;;1;;1
4944616;;;2000214256710;DDN1405961;Đầu đội machine weft DDN1405961;;6299000;;;;1;;1
4944615;;;2000214256703;DDN140596;Đầu đội machine weft DDN140596;;10899000;;;;1;;1
4944612;;;2000214256673;PP0805;phím phồng 0805;;300000;;;;15;;15
4944611;;;2000214256666;DDN080526;Đầu đội machine weft DDN080526;;6899000;;;;1;;1
4944610;;;2000214256659;MINH-080526;Đầu đội siêu da silk base DDV080526;;11499000;;;;;1;1
4944609;;;2000214256642;MHNU080526;Mái hói siêu da silk base MHNU080526;;4980000;;;;1;;1
4944608;;;2000214256635;HUYỀN-070526;Đầu khách đặt DDV070526;;16200000;;;;1;;1
4944604;;;2000214256598;DDV240426;Đầu bop siêu da DDV240426;;5899000;;;;1;;1
4944603;;;2000214256581;TNA2404261;TÉM NAM TNA2404261;;2800000;;;;2;;2
4944602;;;2000214256574;TNA240426;TÉM NAM TNA240426;;3499000;;;;4;;4
4944601;;;2000214256567;TNU240426;Tém nữ siêu da TNU240426;;7899000;;;;4;;4
4944600;;;2000214256550;DDN240426;Đầu đội machine weft DDN240426;;6499000;;;;1;;1
4944593;;;2000214256482;2004261;phí hấp mái hói 2004261;;100000;;;;20;;20
4944592;;;2000214256475;200426;phí hấp đầu đội 200426;;200000;;;;18;;18
4944591;;;2000214256468;;lưới chùm tóc 2004;;20000;;;;20;;20
4944589;;;2000214256444;hà-170426;Đầu đội siêu da silk base DDV170426;;15980000;;;;1;;1
4944588;;;2000214256437;HUYỀN-1704261;Mái phủ hói siêu da silk base MHNU1704261;;5980000;;;;1;;1
4944587;;;2000214256420;HUYỀN-170426;Mái phủ hói siêu da silk base MHNU170426;;5299000;;;;1;;1
4944586;;;2000214256413;;Đầu đội machine weft DDN150426;;9899000;;;;1;;1
4944575;;;2000214256307;K02024264;TÓC KẸP 3 PHÍM 60CM K02024264;;6399000;;;;1;;1
4944574;;;2000214256291;K02024263;TÓC KẸP 3 PHÍM 50CM 140G K02024263;;6326000;;;;1;;1
4944573;;;2000214256284;K02024262;TÓC KẸP 3 PHÍM 55CM 130G K02024262;;6319000;;;;1;;1
4944572;;;2000214256277;;Tóc kẹp 9 phím 60cm K020426;;10899000;;;;1;;1
4944571;;;2000214256260;K020426;Tóc kẹp 9 phím 40cm K020426;;6499000;;;;1;;1
4944569;;;2000214256246;hà-020426;Mái phủ hói siêu da silk base MHNU020426;;7899000;;;;1;;1
4944565;;;2000214256208;HÂN-210326;Đầu đội siêu da silk base DDV210326;;12899000;;;;;1;1
4944562;;;2000214256178;DDN1003261;Đầu đội siêu da 1 ngôi DDN1003261;;6499000;;;;1;;1
